Doctor_ID,Full_Name,Specialty,Branch_ID,Experience_Years,Salary,No_of_Patients,Contact,Rating
DOC058,Maria Moore,Cardiology,HB012,14,228799,611,001-484-677-3782x639,4.3
DOC059,Sherry Shields,Dermatology,HB018,27,212702,1634,658-404-4997x278,3.3
DOC060,Mr. Phillip Bennett,Pediatrics,HB006,12,158080,150,339-636-0576x62702,3.4
DOC061,Leslie Kane,Dermatology,HB014,16,119941,426,187.026.2174x596,4.6
DOC062,Sarah Phelps,Neurology,HB013,3,173388,555,+1-657-809-1343,3.4
DOC063,Jessica Garcia,Psychiatry,HB012,20,109662,556,+1-172-400-5045x5623,3
DOC064,Kylie Sparks,Pediatrics,HB013,22,123034,1870,(219)693-7923,3.1
DOC065,David Scott,General Medicine,HB012,33,154773,1491,7482175946,5
DOC066,Joyce Turner,ENT,HB011,2,80236,1896,(713)695-9440x6409,4.9
DOC067,Paula Beltran,Orthopedics,HB019,17,60028,322,+1-743-953-3942x104,4.2
DOC068,Amanda Diaz,Dermatology,HB011,28,208914,1147,(145)623-2858,3.2
DOC069,Denise Martin,Urology,HB007,17,61635,1551,451.712.3685x1604,3.9
DOC070,Jordan Chambers,ENT,HB018,13,145478,983,+1-496-513-7098x59317,3.1
DOC071,Elizabeth Ortiz,Oncology,HB011,21,223903,1836,(004)711-3826,3.2
DOC072,Michael Paul,General Medicine,HB017,20,224821,936,+1-692-617-9640,3.7
DOC073,Claudia Wallace,General Medicine,HB018,9,100289,961,515.850.6431,4.3
DOC074,Samantha Davis,Gynecology,HB006,20,156450,1222,900.532.9318,4.7
DOC075,Daniel Kane,General Medicine,HB010,14,162692,1709,290-422-8421x02053,4.2
